condition,checkpoint,seed,phi_r_g,group_decoupling_g,group_downward_g,group_part_driven_g,phi_r_atom_median_sum_g,phi_r_minus_atom_median_sum_g,atom_base_part0_to_whole_g,atom_part0_to_part1_g,atom_part1_to_part0_g,atom_part1_to_whole_g,atom_parts_to_whole_g,atom_whole_to_part0_g,atom_whole_to_part1_g,atom_whole_to_parts_g,atom_whole_to_whole_g,phi_r_z
default,24000,2,1.940928706399443,1.3024020261273397,0.6908351628049463,0.03625660781348772,1.9464766964750555,-0.0009109482726369356,0.0193370113627096,-0.6205017948544673,0.0,0.0,0.8371648352090322,0.0,0.5637009758808792,0.013016149845153091,1.3024020261273397,0.03856591223777789
default,24000,3,2.26302725773012,0.1559244875318453,1.9995433399163103,0.055000521652602274,2.298602381911324,-0.05678858128770781,-0.024956857363641838,-1.9936476702984378,0.0,0.0,2.173763610745472,-0.04322430166821789,1.8866590496974007,0.187911624229536,0.1559244875318453,0.0506422621424886
default,24000,4,1.6678889908283003,0.07278043411434654,1.6061376153145104,0.0651483585189151,1.6869792990556585,0.01380473794531245,0.693269354225846,-0.8341343146896887,-1.0128934509323035,0.9546245458355982,0.19725125012592315,0.8416182419829557,0.8105810997567272,0.03123243156692046,0.07278043411434654,0.06411684171970351
default,24000,5,1.9198641146463093,0.14489085077155006,1.7387480635539232,0.042569523010107746,1.8720890267626313,0.008921570124027944,0.46488530178931,-0.9121992147568752,-1.0469104553451105,0.8163594722610039,0.557639747734108,0.7636639746541825,0.8861361015866653,0.13763190504038247,0.14489085077155006,0.032282264404920366
default,24000,6,2.017848124132109,-0.649497190984712,2.3300907917021885,0.09936187804377689,2.086268953549864,-0.025295500471111954,0.9441421180757115,-1.425470483803187,-0.9680949190556413,0.9334955908829203,0.7070840290035215,0.8178866562376801,1.3438954295690384,0.2430436338656986,-0.649497190984712,0.023415691961474472
default,24000,7,2.7367607133442347,1.2093529613280138,1.5457753824921587,0.04467912171212485,2.762859125280417,0.004382312707043923,-0.10954148153823673,-1.3724061082693206,0.0,0.0,1.29956233965077,-0.0343554336592633,1.3719781373458275,0.16527539079071263,1.2093529613280138,0.036399726100161844
default,24000,8,1.9709843972336918,1.16284577518462,0.8022176583817823,0.04395287944253323,1.974844173800104,-0.00015089051940231357,0.1699003992205279,-0.6578978478974801,0.0,0.0,0.6308014318002153,0.0,0.6137756711624107,0.031740083604146374,1.16284577518462,0.09608453709601478
default,24000,9,3.9248340661053644,1.6411248336706228,2.3239896205512265,0.03329614164137559,3.8882084406712307,0.022729386791743744,-0.2725665110055371,-1.9388187423023413,-0.3918954263299833,0.3978852449855501,2.2309387845601094,-0.1861775997716968,1.940623097053133,0.5505965388399876,1.6411248336706228,0.031849283290517436
default,24000,10,2.2912093879848694,0.8221436884427324,1.2803996840841716,0.06227484173240633,2.2678322810136105,0.06303157420072614,0.33962376772428193,-0.797255869273169,-0.6241724350428781,0.5226104309034164,0.7741327421278696,0.3766238821302901,0.7214456415377425,0.1356442380749553,0.8221436884427324,0.00904808367832241
default,24000,11,2.460581298783411,0.2942057579782147,1.8017727131307966,0.04702565352372956,2.393178807728941,0.07520407344166258,0.7552609955081225,-1.3060682974997389,-0.839398522802346,0.7149344910474705,0.6521007242001652,0.47232369886348946,1.1881426417673504,0.15636578609729734,0.2942057579782147,0.044843549552077436
