group,seed,episode,tau,phi_g
trained,1,2,46,1.2150405647805143
trained,1,2,51,0.9305095359863144
trained,1,2,56,0.9729449031424728
trained,1,2,61,1.038848255905993
trained,1,2,66,0.9527203940364759
trained,1,2,71,1.0324598105825844
trained,1,2,76,1.059777022152548
trained,1,2,81,1.0812901817504732
trained,1,2,86,1.122813955998431
trained,1,2,91,0.9889530847786094
trained,1,2,96,0.9100764069026173
trained,1,2,101,0.982436694982687
trained,1,2,106,0.8223128362971681
trained,1,2,111,0.6459383977035178
trained,1,2,116,0.646561468231541
trained,1,2,121,0.6331359190778949
trained,1,2,126,0.6241674664411656
trained,1,2,131,0.47424181447604374
trained,1,2,136,0.7708506479249511
trained,1,2,141,0.806349551691508
trained,1,3,-279,4.074559652524027
trained,1,3,-274,3.5634891126530994
trained,1,3,-269,4.0760491430835515
trained,1,3,-264,1.8705793860248217
trained,1,3,-259,1.2879355320271595
trained,1,3,-254,0.9483998191037353
trained,1,3,-249,1.2614660246341467
trained,1,3,-244,1.2342298395097853
trained,1,3,-239,1.234843399200964
trained,1,3,-234,1.3593224656731804
trained,1,3,-229,0.8066926949609989
trained,1,3,-224,0.9592429224045314
trained,1,3,-219,1.254048281917428
trained,1,3,-214,1.49627782387596
trained,1,3,-209,0.3877898362096077
trained,1,3,-204,0.8519642559955416
trained,1,3,-199,0.862850325065618
trained,1,3,-194,0.6938674235711165
trained,1,3,-189,0.6992088429757941
trained,1,3,-184,0.708510130408438
trained,1,3,-179,0.5955712574905464
trained,1,3,-174,0.5560183432026846
trained,1,3,-169,0.6327815986503187
trained,1,3,-164,0.6738929260160011
trained,1,3,-159,0.7921093325968692
trained,1,3,-154,0.6885043437570756
trained,1,3,-149,0.7517266361832429
trained,1,3,-144,0.8503729464158065
trained,1,3,-139,0.8974675198251572
trained,1,3,-134,0.9139795649976268
trained,1,3,-129,0.7775240817524605
trained,1,3,-124,0.647238918613279
trained,1,3,-119,0.7014351408005604
trained,1,3,-114,0.6492025971483748
trained,1,3,-109,0.8671819105586638
trained,1,3,-104,0.7741415965028422
trained,1,3,-99,0.663945466135158
trained,1,3,-94,0.8482080307564173
trained,1,3,-89,0.9598266706369778
trained,1,3,-84,0.8213494163279069
trained,1,3,-79,0.934633193658776
trained,1,3,-74,0.8661502045926908
trained,1,3,-69,1.3798253440915915
trained,1,3,-64,1.518181479693385
trained,1,3,-59,1.534317637500375
trained,1,3,-54,1.3348708164017173
trained,1,3,-49,1.326951998641348
trained,1,3,-44,1.1997241705306145
trained,1,3,-39,1.1186206756239259
trained,1,3,-34,0.9857213579523565
trained,1,3,-29,1.2820628219869454
trained,1,3,-24,1.8145839606368757
trained,1,3,-19,1.7213610077092958
trained,1,3,-14,1.7436060865015874
trained,1,3,-9,1.8190034424612662
trained,1,3,-4,1.840734872655457
trained,1,3,1,1.9014847973656794
trained,1,3,6,1.9001659893646872
trained,1,3,11,1.9217160542921508
trained,1,3,16,1.8534619269285362
trained,1,3,21,1.0234348718575024
trained,1,3,26,1.3706176354760435
trained,1,3,31,1.2662578546956937
trained,1,3,36,1.1262856609387386
trained,1,3,41,1.5061925931792544
trained,1,3,46,1.4746977190852488
trained,1,3,51,1.4147744774776247
trained,1,3,56,1.453779422019283
trained,1,3,61,1.278791074220349
trained,1,3,66,1.0923271723825996
trained,1,3,71,0.810641286267086
trained,1,3,76,0.8049290460717817
trained,1,3,81,0.7952519135367007
trained,1,3,86,0.7288910206634216
trained,1,3,91,0.754844232148271
trained,1,3,96,0.9095184439252515
trained,1,3,101,0.7066188487986163
trained,1,3,106,1.0329549770468298
trained,1,3,111,0.5568448803952646
trained,1,3,116,0.8405370745069505
trained,1,3,121,0.8535035127235373
trained,1,3,126,0.8574515947327166
trained,1,3,131,1.1311896749501202
trained,1,3,136,1.2445625667576876
trained,1,3,141,1.0212661017964781
