seed,episode,condition,shared_partition_signature,shared_partition_n1,shared_partition_n2,phi_r_g,group_decoupling_g,group_downward_g,group_part_driven_g
11,4,coupled,"A[1,3,5,6]|B[0,2,4,7,8,9,10,11]",4,8,2.328992527992069,-0.35910346743223265,2.7339105327039936,0.15932827212009382
11,4,default,"A[1,3,5,6]|B[0,2,4,7,8,9,10,11]",4,8,1.9405905147173326,-1.20463657603511,3.028476327501775,0.12672072553853408
11,5,coupled,"A[1,5,10,11]|B[0,2,3,4,6,7,8,9]",4,8,1.9018766830836906,-0.5680934676779819,2.4406430888512727,0.0661142599370248
11,5,default,"A[1,5,10,11]|B[0,2,3,4,6,7,8,9]",4,8,2.0938166044753252,0.22440980521158682,1.6930213912933318,0.14618863066439358
11,6,coupled,"A[1,5,10,11]|B[0,2,3,4,6,7,8,9]",4,8,1.9799292830204185,-0.9520319222047302,2.7961645891749294,0.13707355813162003
11,6,default,"A[1,5,10,11]|B[0,2,3,4,6,7,8,9]",4,8,1.9420682440699397,0.30172343851405836,1.6027723695910079,0.12044835067755155
11,7,coupled,"A[1,5,9,10,11]|B[0,2,3,4,6,7,8]",5,7,1.2506379515777537,-0.7371725852087856,1.9464465643115816,0.0725631158788409
11,7,default,"A[1,5,9,10,11]|B[0,2,3,4,6,7,8]",5,7,1.7411620117678375,-0.36523897259246807,2.004435746504366,0.01922354601404075
11,8,coupled,"A[1,5,10,11]|B[0,2,3,4,6,7,8,9]",4,8,1.8457440341929066,-0.642677542597518,2.4333390320981114,0.0366774685201845
11,8,default,"A[1,5,10,11]|B[0,2,3,4,6,7,8,9]",4,8,1.3420761311225933,0.2855030313236746,1.0320658458142158,0.10715127252811496
11,9,coupled,"A[3]|B[0,1,2,4,5,6,7,8,9,10,11]",1,11,2.307305526571616,0.9456925703608179,1.330684456815473,0.031895429993048285
11,9,default,"A[3]|B[0,1,2,4,5,6,7,8,9,10,11]",1,11,2.6244332488617967,1.2238761226515216,1.3665339931822043,0.07594116194971479
12,0,coupled,"A[1,2,5,7,8,9,10]|B[0,3,4,6,11]",7,5,2.275127252058634,-0.07014919250804574,2.1704389018273647,0.00015475199669356954
12,0,default,"A[1,2,5,7,8,9,10]|B[0,3,4,6,11]",7,5,1.380021957132845,-1.0389054801207247,2.3763157380773023,0.04520032109513683
12,1,coupled,"A[3,4,6,11]|B[0,1,2,5,7,8,9,10]",4,8,1.6638358616010707,-0.6277631185373194,2.1949500553342878,0.09602356128798983
12,1,default,"A[3,4,6,11]|B[0,1,2,5,7,8,9,10]",4,8,1.553471220077037,-0.4115380891455538,1.7990230636419182,0.019551018041983892
12,2,coupled,"A[3,4,6,11]|B[0,1,2,5,7,8,9,10]",4,8,1.9543499949163832,-0.18191660275146315,1.9998277800689088,0.01807163440919546
12,2,default,"A[3,4,6,11]|B[0,1,2,5,7,8,9,10]",4,8,1.8429415217032603,-1.2979945545746374,2.8935741396545067,0.09466933388248
12,3,coupled,"A[1,2,5,7,8,9,10]|B[0,3,4,6,11]",7,5,1.7857988537938652,0.39761804656365207,1.2672397670925586,0.0037162636739869193
12,3,default,"A[1,2,5,7,8,9,10]|B[0,3,4,6,11]",7,5,1.3160436651536203,-0.6497856670045183,2.0306132143231035,0.11583689189152246
12,4,coupled,"A[1,2,5,7,8,9]|B[0,3,4,6,10,11]",6,6,1.6228062657208662,-0.6701703082854671,2.1812400331702246,0.15514482808355456
12,4,default,"A[1,2,5,7,8,9]|B[0,3,4,6,10,11]",6,6,1.4491637603191463,-0.6004882490043331,2.0361351429426,0.054057345270052126
12,5,coupled,"A[1,2,5,7,9,10]|B[0,3,4,6,8,11]",6,6,1.813997678310855,-0.7509454231940147,2.3453393086959577,0.042296379843650866
12,5,default,"A[1,2,5,7,9,10]|B[0,3,4,6,8,11]",6,6,1.7863812681778408,-0.9846884706651773,2.9037747852225495,0.08911807210537015
12,6,coupled,"A[1,2,5,7,8,9,10]|B[0,3,4,6,11]",7,5,1.9535337202263254,-0.6771274540719769,2.5348936142133427,0.02459855957937318
12,6,default,"A[1,2,5,7,8,9,10]|B[0,3,4,6,11]",7,5,2.121362880765057,-0.7361031129988747,2.885421958480584,0.08270837000515563
12,7,coupled,"A[1,2,5,7,8,9,10]|B[0,3,4,6,11]",7,5,2.0823880511138144,-0.057241114296009865,1.945816304748067,0.06839608932968055
12,7,default,"A[1,2,5,7,8,9,10]|B[0,3,4,6,11]",7,5,1.613151809189507,-0.5147542468049968,2.1801125449799565,0.010519313902542793
12,8,coupled,"A[1,2,5,7,8,9]|B[0,3,4,6,10,11]",6,6,1.5072467155725593,-0.757268477358565,2.160087398300969,0.042979555411310044
12,8,default,"A[1,2,5,7,8,9]|B[0,3,4,6,10,11]",6,6,1.8118793313164108,-0.2398785357853952,2.050529192886544,0.11119826425262413
12,9,coupled,"A[3,4,6,11]|B[0,1,2,5,7,8,9,10]",4,8,1.6066156290901525,-0.3535356407942416,1.7800381281992226,0.12015549594769037
12,9,default,"A[3,4,6,11]|B[0,1,2,5,7,8,9,10]",4,8,1.3339001969503261,-0.4330967146747233,1.6952023108468972,0.04461407724094746
13,0,coupled,"A[4,7,8,11]|B[0,1,2,3,5,6,9,10]",4,8,1.686966205555554,-0.3479313594230433,2.0311442517373743,0.1459185101638658
13,0,default,"A[4,7,8,11]|B[0,1,2,3,5,6,9,10]",4,8,2.1135871502695327,-0.9486483807352268,2.8789702066260423,0.030829156837977045
13,1,coupled,"A[4,6,7,8,9,11]|B[0,1,2,3,5,10]",6,6,1.7295109126797208,-0.1505688404189076,1.7772504820610573,0.048930553396725696
13,1,default,"A[4,6,7,8,9,11]|B[0,1,2,3,5,10]",6,6,1.6961212033961157,0.3862538915149818,1.2136714264358666,0.16353582254196952
13,2,coupled,"A[1,2,3,4,6,7,8,9,10]|B[0,5,11]",9,3,2.2833646221914288,-0.8843009941137661,3.161664309709699,0.11389246892816773
13,2,default,"A[1,2,3,4,6,7,8,9,10]|B[0,5,11]",9,3,1.896677500777454,0.44799036965427597,1.3390602714735644,0.04613372311269193
13,3,coupled,"A[1,3,5,6,9,10,11]|B[0,2,4,7,8]",7,5,2.1042086983817923,-1.1460365917947382,3.3077832356377384,0.04123019735050648
13,3,default,"A[1,3,5,6,9,10,11]|B[0,2,4,7,8]",7,5,2.1153036271293333,-1.4060510891100382,3.410895061582293,0.0748231735443643
13,4,coupled,"A[3]|B[0,1,2,4,5,6,7,8,9,10,11]",1,11,2.3125219778318935,0.7728187600759342,1.4415880280109294,0.1024901809190315
13,4,default,"A[3]|B[0,1,2,4,5,6,7,8,9,10,11]",1,11,1.8797925978725827,0.5702636207901981,1.275642183732487,0.07933734584466379
13,5,coupled,"A[7,8,10,11]|B[0,1,2,3,4,5,6,9]",4,8,2.1937152918121745,-1.533700691735218,3.6098005234887585,-0.0026164587168069353
13,5,default,"A[7,8,10,11]|B[0,1,2,3,4,5,6,9]",4,8,2.2037067606454235,-0.0863945387686087,2.188593801072244,0.06482063079735667
13,6,coupled,"A[7,8,11]|B[0,1,2,3,4,5,6,9,10]",3,9,2.309370413401636,-0.3963010253554389,2.7137775960181276,0.06893726485943996
13,6,default,"A[7,8,11]|B[0,1,2,3,4,5,6,9,10]",3,9,2.5678846466278715,0.431858364758293,2.0726953650788347,0.042369072740370495
