seed,episode,signature_default,signature_coupled,partition_mismatch_fraction,partition_agreement,exact_partition_match
12,0,"A[1,2,5,7,8,9,10]|B[0,3,4,6,11]","A[1,2,5,7,8,9]|B[0,3,4,6,10,11]",0.08333333333333333,0.9166666666666666,False
12,1,"A[3,4,6,11]|B[0,1,2,5,7,8,9,10]","A[3,4,6,10,11]|B[0,1,2,5,7,8,9]",0.08333333333333333,0.9166666666666666,False
12,2,"A[1,2,5,7,8,9,10]|B[0,3,4,6,11]","A[3,4,6,10,11]|B[0,1,2,5,7,8,9]",0.16666666666666666,0.8333333333333334,False
12,3,"A[1,2,5,7,9,10]|B[0,3,4,6,8,11]","A[3,4,6,10,11]|B[0,1,2,5,7,8,9]",0.25,0.75,False
12,4,"A[1,2,3,8,11]|B[0,4,5,6,7,9,10]","A[3,4,6,10,11]|B[0,1,2,5,7,8,9]",0.5,0.5,False
12,5,"A[1,2,5,7,8,9,10]|B[0,3,4,6,11]","A[1,2,5,7,9]|B[0,3,4,6,8,10,11]",0.16666666666666666,0.8333333333333334,False
12,6,"A[1,2,5,7,8,9,10]|B[0,3,4,6,11]","A[3,4,6,10,11]|B[0,1,2,5,7,8,9]",0.16666666666666666,0.8333333333333334,False
12,7,"A[1,2,3,5,7,8,9,10]|B[0,4,6,11]","A[1,2,5,7,8,9]|B[0,3,4,6,10,11]",0.16666666666666666,0.8333333333333334,False
12,8,"A[1,2,5,7,8,9,10]|B[0,3,4,6,11]","A[3,4,6,10,11]|B[0,1,2,5,7,8,9]",0.16666666666666666,0.8333333333333334,False
12,9,"A[3,4,6,11]|B[0,1,2,5,7,8,9,10]","A[3,4,6,10,11]|B[0,1,2,5,7,8,9]",0.08333333333333333,0.9166666666666666,False
13,0,"A[4,6,7,8,9,10,11]|B[0,1,2,3,5]","A[4,7,8]|B[0,1,2,3,5,6,9,10,11]",0.3333333333333333,0.6666666666666667,False
13,1,"A[4,6,7,8,9,11]|B[0,1,2,3,5,10]","A[4,7,8,10]|B[0,1,2,3,5,6,9,11]",0.3333333333333333,0.6666666666666667,False
13,2,"A[3,5]|B[0,1,2,4,6,7,8,9,10,11]","A[4,7,8,9,10]|B[0,1,2,3,5,6,11]",0.4166666666666667,0.5833333333333333,False
13,3,"A[2,4,6,9]|B[0,1,3,5,7,8,10,11]","A[1,3,5,6,9,10,11]|B[0,2,4,7,8]",0.4166666666666667,0.5833333333333333,False
13,4,"A[1,2,3,4,6,7,8,10,11]|B[0,5,9]","A[7,8]|B[0,1,2,3,4,5,6,9,10,11]",0.4166666666666667,0.5833333333333333,False
13,5,"A[5]|B[0,1,2,3,4,6,7,8,9,10,11]","A[7,8]|B[0,1,2,3,4,5,6,9,10,11]",0.25,0.75,False
13,6,"A[8,11]|B[0,1,2,3,4,5,6,7,9,10]","A[4,7,8,11]|B[0,1,2,3,5,6,9,10]",0.16666666666666666,0.8333333333333334,False
13,7,"A[5]|B[0,1,2,3,4,6,7,8,9,10,11]","A[4,7,8]|B[0,1,2,3,5,6,9,10,11]",0.3333333333333333,0.6666666666666667,False
13,8,"A[1,2,7,8,10,11]|B[0,3,4,5,6,9]","A[5,9,11]|B[0,1,2,3,4,6,7,8,10]",0.4166666666666667,0.5833333333333333,False
13,9,"A[2,7,8,10,11]|B[0,1,3,4,5,6,9]","A[4,7,8,10,11]|B[0,1,2,3,5,6,9]",0.16666666666666666,0.8333333333333334,False
14,0,"A[2,9,11]|B[0,1,3,4,5,6,7,8,10]","A[2,3,10,11]|B[0,1,4,5,6,7,8,9]",0.25,0.75,False
14,1,"A[7,8,9,11]|B[0,1,2,3,4,5,6,10]","A[2]|B[0,1,3,4,5,6,7,8,9,10,11]",0.4166666666666667,0.5833333333333333,False
14,2,"A[3,4,5,6,7,8,11]|B[0,1,2,9,10]","A[2,10,11]|B[0,1,3,4,5,6,7,8,9]",0.3333333333333333,0.6666666666666667,False
14,3,"A[10]|B[0,1,2,3,4,5,6,7,8,9,11]","A[2,6,10,11]|B[0,1,3,4,5,7,8,9]",0.25,0.75,False
14,4,"A[2]|B[0,1,3,4,5,6,7,8,9,10,11]","A[2,10,11]|B[0,1,3,4,5,6,7,8,9]",0.16666666666666666,0.8333333333333334,False
14,5,"A[2,3,4,5,6,8,9,11]|B[0,1,7,10]","A[2,3,10]|B[0,1,4,5,6,7,8,9,11]",0.4166666666666667,0.5833333333333333,False
14,6,"A[6,7,8]|B[0,1,2,3,4,5,9,10,11]","A[3,6,10]|B[0,1,2,4,5,7,8,9,11]",0.3333333333333333,0.6666666666666667,False
